Accession,Description,Abundance: M1,Abundance: M2,Abundance: M3,Abundance: C1,Abundance: C2,Abundance: C3
P10046,Protein 47,1025.701035976945,703.0241306030969,1299.4426522513172,531.4061970071559,978.6937529930739,863.3866135608309
P10047,Protein 48,1273.2514739232201,847.5057265885663,1225.598973197373,779.8775861084704,1047.8250905487726,722.6611999931928
P10048,Protein 49,1311.3585879695224,864.6035414420746,1228.534574945303,1056.4659217498909,805.5914842248153,890.1484572837713
P10049,Protein 50,650.8704981848441,1339.5725827153149,928.7150575673343,858.7134169351757,821.1753022669358,812.1477102272285
P10050,Protein 51,1103.5954755665339,951.2954962392122,1363.0963098070042,824.9895709550151,948.011430374611,1198.0801713767396
P10051,Protein 52,1327.7812496860763,881.7326960067586,1178.9307636300316,558.074952924385,880.505398544559,994.9987071331907
P10052,Protein 53,845.89586313806,1024.7418110772144,1036.9158933719418,930.3588422832022,731.6474208575976,795.5669485193557
P10053,Protein 54,1019.5848123667721,962.6998292234846,885.8484291474213,1205.509276778272,814.9957015300243,795.5137786209582
P10054,Protein 55,717.1269567284905,824.5844115650544,876.0301648731722,390.89423032085955,668.8119382317752,907.7911694345632
P10055,Protein 56,759.5885682971243,1064.5947321485994,869.9174241072626,828.5962026009198,859.443896673002,723.4726989113215
P10056,Protein 57,664.6266106779276,760.0147806161356,935.1235323583923,881.8251197968774,734.3277128632845,908.8416970757995
P10057,Protein 58,847.2263819728544,1438.4906846242973,798.0232633548404,765.774038136606,974.8361542250183,925.9244546737318
P10058,Protein 59,809.3721844300326,920.6852558448352,885.1983922126547,918.9606001557773,1192.2691204426483,843.374064684777
P10059,Protein 60,783.9555193910222,543.2054013392419,1121.6920799393,763.6198071866436,1070.806584425832,1167.0772814784946
P10060,Protein 61,1074.1460643273294,946.2735877515761,909.3778018343313,958.2035907229879,1036.2260906595038,1031.9256716964462
P10061,Protein 62,868.0350757156059,1164.960771682524,1102.0006988916487,718.249767238699,940.3922587361834,820.6511704040437
P10062,Protein 63,1141.259511267699,1086.242166503304,779.9389724696174,1074.7870629967163,1118.0487720883812,481.12459345583414
P10063,Protein 64,984.2509599371624,801.9915166257281,830.9803168312836,762.2582711215464,906.918267348385,1150.0329149740871
P10064,Protein 65,954.2033832865408,1118.1861264357653,822.9353046920685,1027.1343700973177,987.6430214241232,933.9477347644055
P10065,Protein 66,828.7547532206945,996.2716497044805,564.6237788189578,882.4966535051336,950.240296195521,1065.3621279359336
P10066,Protein 67,1399.4913311050364,1114.5187853244713,870.9350200144152,1004.9972064536347,848.7388852441327,1201.4568053623168
P10067,Protein 68,529.3011599686434,1098.214991123555,479.24268698159403,822.4781361615157,913.3949983932924,857.1335956153706
P10068,Protein 69,1072.4546137593618,788.1798809805418,1332.902387022322,1129.8486680667213,982.1202945373876,1021.0871368968479
P10069,Protein 70,1106.7945564569636,995.036846582985,1189.7390784280005,1175.689560806853,1101.4295361434758,677.0942579638346
P10070,Protein 71,1145.0766539690094,1079.704468145193,901.3198353372353,1036.8768493923392,936.9263477873038,612.905299481074
P10071,Protein 72,1183.2481757409585,842.6346631817214,789.9010394966969,974.3801009639553,1059.0599315392462,839.2651578244997
P10072,Protein 73,1108.6919420226654,1029.566509037784,1012.4186284946372,1106.7962141016549,1094.314371033164,848.3375299337036
P10073,Protein 74,1016.5406774131604,699.1827823692445,1100.6006533990299,1187.3387366421052,794.5334000142309,827.7546644840367
P10074,Protein 75,1336.068916015539,1187.316552097224,754.7842014552516,762.4129473476429,1083.3661268938463,1008.9500948261643
P10075,Protein 76,1096.1159862727825,627.9225029492151,908.0241426694599,710.9815585084973,964.7727634227784,949.8817958723503
P10076,Protein 77,1150.1966277642478,1315.4535735485001,1108.1994054999975,516.5885722224839,879.2472534617565,870.5609209492828
P10077,Protein 78,1043.244831729281,1195.070183712123,1199.0734356498533,1094.4521317710512,1025.115893015375,1050.163659838665
P10078,Protein 79,521.197248922643,1269.5340684132766,935.3936540535409,734.846147687555,842.2624913999247,930.0372773506101
P10079,Protein 80,835.8369449141879,828.7628680658075,1360.8905793165768,991.4509852924194,1150.6988772023333,1105.6143845031274
P10080,Protein 81,1114.9648784521064,761.7614345556037,1087.60409037594,867.0935775769738,1038.2595591176437,995.858167079917
P10081,Protein 82,895.7717820658572,1306.559836237525,555.7185404954828,970.2467009208873,787.236405907595,845.391174331121
P10082,Protein 83,1153.929408663242,1277.7351024142486,1036.165990371438,936.6849265201745,885.895099902953,839.1866312466597
P10083,Protein 84,870.2294213352932,982.4142969676784,1310.2075069385419,1017.1955049669853,1026.6194704604798,1190.6796003596312
P10084,Protein 85,1095.9138584026512,947.2803924490256,1277.6244308216533,1003.2069418415382,921.7314534582454,1138.3904785551915
P10085,Protein 86,993.1691275214221,745.7291843125533,962.643760780166,1100.2945716346057,856.7777583625124,823.5692184659541
P10086,Protein 87,998.6448285332602,1202.754758622245,712.0533314029933,673.2015860769511,765.4615307824806,892.347997618429
P10087,Protein 88,1103.7048966872073,1462.909131050408,1341.27787132171,913.3933007581204,838.6222895801003,1283.7030781115577
P10088,Protein 89,871.501497564562,694.768216146278,907.7213110738597,972.787937223241,937.4085846620712,1092.3360486904548
P10089,Protein 90,847.4468078088408,1059.076471044078,1217.8908175442386,1058.4442800614183,1089.6286179663293,825.4158324486613
P10090,Protein 91,760.9003721984456,683.5024436189274,840.0604864052665,785.1688151664911,1062.7892375078566,477.76805539775455
P10091,Protein 92,997.318718862334,1223.2229029000691,1116.935299185818,711.769172587452,925.7344804486412,951.379481005227
P10092,Protein 93,1039.1239579135881,718.8375728383498,1184.3306623391077,684.6193790002434,795.449286695566,1019.0685894638597
P10093,Protein 94,1193.9080761584366,1073.7817150982492,1019.7608071216151,929.5148741612136,756.9167612980574,1127.461550682711
P10094,Protein 95,1029.061027249246,1203.9185466855592,974.323915862413,789.9397861960452,822.4909832723878,748.6585034268415
P10095,Protein 96,934.0444612708991,752.7892649105911,1124.6024496439784,843.4212860800806,921.9063500761806,652.2648314812345
P10096,Protein 97,1471.8134364412495,808.8631535915794,1038.7422626731225,947.9849680872314,702.7980353367642,883.538279146805
P10097,Protein 98,1450.9710110114443,824.5050337977336,1243.157726009491,714.9139730502583,859.4623970782366,972.3313646908912
P10098,Protein 99,1204.4590302731908,725.8686218031503,921.8204727213006,1001.8931051912924,1233.3644238758118,1010.8116388338522
P10099,Protein 100,776.1938851231743,909.2143035295421,1091.722426596024,854.3727073078918,817.54980988968,803.9261613135815
P10100,Protein 101,979.2899372829829,921.6697441906597,1087.8433468038263,975.9809276191188,870.133132317315,814.6872587427612
P10101,Protein 102,903.978269510175,1088.5210297940937,917.6127502925472,901.5476194501848,897.0598275427725,730.81721063295
P10102,Protein 103,901.3955613593744,580.1698262975196,1029.4505513003355,839.5692240598257,711.5171413551764,694.2226830938664
P10103,Protein 104,768.196617194832,756.3921523489607,1112.832770026146,953.2956638555416,823.4941583254983,797.2654622663134
P10104,Protein 105,1198.717510467555,1300.3546359395987,992.7048383956953,1015.9839077911116,873.4770842422342,1076.6762499339034
P10105,Protein 106,1004.746055370143,928.7722946356456,957.0544407738436,821.9245440831216,1117.1598475018343,761.547391806669
P10106,Protein 107,1067.3969436663554,955.1966177129009,1135.4894384625,855.3068270324399,1066.9790134259224,1061.5548509486061
P10107,Protein 108,629.657964558332,1007.7838186842579,1082.1006069042273,724.4141171062734,745.0810562213924,861.9134364149138
P10108,Protein 109,1139.7405508432541,1074.1933553602637,1164.0504631383317,922.9385695360742,791.8321586904714,708.3933787588626
P10109,Protein 110,1269.1024415643544,1245.7111514236105,1155.4662262038778,1001.2880646171681,826.4882288176271,1006.7042273902342
P10110,Protein 111,657.299368438491,831.8633552519306,1079.4250579117747,761.0959769337134,832.3725432442284,634.9093722071059
P10111,Protein 112,1066.0915547527063,1139.3366687447947,1028.8963255183382,830.8273866305641,698.2459361821848,781.7763909116703
P10112,Protein 113,1034.528075823685,1045.891700410657,889.8592637108308,695.7534227773417,1063.2719142389287,670.2717565343723
P10113,Protein 114,1490.0066358908362,966.3435790088758,744.4677756119032,837.0239888406733,1065.3675379175509,733.4899032836872
P10114,Protein 115,923.7133042391606,969.9599082483769,981.0718054468249,940.2532527212993,995.3293040676806,849.4234246011486
P10115,Protein 116,1093.100232642077,834.9743442063827,1229.6789283031044,858.7551080014077,949.4143845779648,960.5190622464884
P10116,Protein 117,329.1358861312399,691.0680766163493,710.134510648179,1154.1493988095187,1029.3951846216046,712.8883991322257
P10117,Protein 118,979.5545560670242,1062.0696578250174,1141.4988397146587,620.7934063956079,966.53616950556,844.6288941757408
P10118,Protein 119,884.7873404766523,1173.804571548737,954.8598366207091,770.7725455302746,936.8653272140604,942.3448178740144
P10119,Protein 120,806.9472297016462,837.5322191331832,895.401942041155,829.8731410807793,844.2331984733611,980.0134347225509
P10120,Protein 121,962.1966059724854,802.3292820057803,715.484753563735,870.4724369085822,955.0212307298007,1000.600865505408
P10121,Protein 122,881.775937144555,1458.2645870932868,763.1105420370114,756.9471390874087,805.2888717614194,891.8543378354844
P10122,Protein 123,1109.3427631127406,1146.4610121551755,734.2049900141026,847.7983443884672,803.7818778701104,998.1330167593642
P10123,Protein 124,786.6966046729183,1317.0718842207034,1223.168352848025,1154.499888180393,987.2923628985236,964.0930233257347
P10124,Protein 125,1092.432128361608,853.7271771438956,603.272906973049,768.7041514007785,979.5533373697222,860.7504046291161
P10125,Protein 126,1094.7864142086266,1158.1195705291004,955.3822822760869,745.6983282242411,780.9891173311497,957.2716048991999
P10126,Protein 127,1183.086308051223,973.5810575814653,1192.667730483277,786.8619744477315,890.7660847667283,781.5154111188914
P10127,Protein 128,666.4969622937624,1040.4370739639264,764.2543062095756,759.5554576167176,795.4964661903368,790.8901271635424
P10128,Protein 129,938.9419958856416,1206.4935460254103,1068.8097173415165,695.2526402119812,1084.711958886944,1240.7985952196323
P10129,Protein 130,862.2601098979259,413.8991682554646,1194.2789946670146,897.4394463950842,987.8623711298861,919.5932246806997
P10130,Protein 131,991.8670501500566,755.5389951400443,1163.7359888420867,813.9606120664546,889.8194388320181,1167.107640323614
P10131,Protein 132,1063.0821787363268,660.960409501647,912.6522389853977,934.3245227913686,776.7320478559811,1080.9839318109941
P10132,Protein 133,1151.5550528857552,1014.8067349402176,1047.9880100459804,900.1725834290297,679.4235777149347,837.5044419037969
P10133,Protein 134,1145.5814638657855,911.354631669551,952.2673461980627,1037.9011479179537,1067.03096815455,882.8238629532227
P10134,Protein 135,661.8613976813854,964.1723886447385,693.8310483937664,877.6588815448921,835.6574216176466,978.6795327939925
P10135,Protein 136,1214.270250052979,795.0716788936629,981.2287364945075,1122.7627639436666,902.5643228283469,968.5758049405738
P10136,Protein 137,946.4047098952565,1072.0064101580715,1144.0906140574953,956.7897849882645,1031.0666581754313,941.9928943254323
P10137,Protein 138,931.6552824581518,1124.5025547371624,1192.6638277474294,1240.5872059709825,1005.9212211907807,802.0590478519766
P10138,Protein 139,863.4363496303557,1044.7034011636292,790.4518440030924,810.3896789232726,863.118373131262,836.0345606283299
P10139,Protein 140,717.1178373913585,1052.3348063538265,798.6450743642033,1025.259158068951,564.7211433381442,779.4154128374803
P10140,Protein 141,1052.7348582180912,912.6029358964862,968.4815370467686,778.1172140824965,623.9507145264478,688.5656739294809
P10141,Protein 142,1048.2703979150724,489.61552756719936,1177.3950454932046,802.0488912318573,901.9804000051149,792.8917180540227
P10142,Protein 143,906.041688504243,1196.103547258466,1230.054502276755,1249.01059552072,1043.2976422150182,1102.0693015263118
P10143,Protein 144,1091.9597119256118,910.8126747578171,1454.4887210592583,1085.3590224158527,760.3230598199466,618.4186496039914
P10144,Protein 145,1225.0858920847004,858.442497751021,952.5831603393447,941.7863835459787,1049.1928455337531,1146.3092458761028
P10145,Protein 146,1091.2498354822878,832.1184521717619,1155.0382368245812,852.0094109757802,1033.05253357997,766.425527905946
P10146,Protein 147,561.5107818734069,707.8244450326408,525.9426367057761,919.0899756731204,1014.7045328965042,930.4510190413174
P10147,Protein 148,939.6821029280081,1265.6116500545845,930.1948797678851,878.453640311692,826.7576356498655,799.3909030570071
P10148,Protein 149,1353.828831440163,1106.6252155390716,1047.6735655924178,1055.4841374713408,865.2009771039025,957.0472242028026
P10149,Protein 150,1034.7465078560826,768.8906283820321,999.9776918129857,928.0634514999098,857.8721056889592,860.4954022642279
P10150,Protein 151,786.8373027163548,925.6997725039254,1011.5618130809345,900.0493729344367,1030.2841358011829,920.984938320298
P10151,Protein 152,1237.1588656130878,820.7859678293689,710.2844919240713,952.0520690415058,880.4355678505589,1034.6933226440508
P10152,Protein 153,958.3690176385813,1162.5538001179093,1134.8531851937087,878.8818905825199,924.8418000583655,766.3569975317222
P10153,Protein 154,882.9779306187984,1182.9317140093665,1287.2682810214278,672.4581224781018,1006.0908447185373,1076.0953651152536
P10154,Protein 155,1076.3250036357254,1132.7625983012615,1126.7463774784924,1021.2204947952689,900.6315081966262,829.6327598132323
P10155,Protein 156,953.5977998807708,1062.3313875643073,728.6402074813368,815.6151592576001,1030.2672823595294,1062.4766154586118
P10156,Protein 157,1103.3603731023336,890.9245745710411,961.7175279057316,778.8453052378694,1127.3185193409392,991.7750828172434
P10157,Protein 158,1552.4737519618643,708.4100719799972,1048.5081576566272,978.1007151790025,862.6773823386238,958.655505464082
P10158,Protein 159,808.2874544421381,459.27933207328783,1488.0167079524017,849.3304881163272,813.0040968675777,1000.8553153381383
P10159,Protein 160,1267.6754686511815,1085.1981444579644,921.1785907489253,875.0313803452495,927.1085199420036,883.6999648382308
P10160,Protein 161,1009.7605567705116,854.7292732110423,1071.8408425093787,613.4958455083597,950.7654907858982,699.9223214747636
P10161,Protein 162,1053.3112142353048,903.101952533316,755.5438975947606,879.3880785942667,776.0989936950853,964.281846173701
P10162,Protein 163,843.9906262280891,1098.5783632131895,1109.238798049167,1013.8804559816376,872.4919071236786,833.8308284328066
P10163,Protein 164,1117.4491769775843,991.4125906826138,1040.679601705727,727.5524518782453,529.3796860779793,898.676798108961
P10164,Protein 165,823.7847230304665,1248.6643254208384,1239.6178897083453,783.020051179537,877.5490282037036,943.9829707914491
P10165,Protein 166,552.5599942127524,1297.8935576238166,736.1754106626579,1018.7787607131468,1053.0860230853805,1025.2478633056794
P10166,Protein 167,959.4207661379639,874.7687085073464,1100.2528154749582,955.4147627535796,839.3570285252421,1077.035519697348
P10167,Protein 168,930.3014239389383,1026.0476071992757,877.3932191943327,1156.4581431224865,842.0183412943079,1129.5567982455593
P10168,Protein 169,927.5266502926069,1033.4307789036702,991.731652595789,862.6620027052571,675.3688300343692,936.8050049965436
P10169,Protein 170,1059.6141591202256,938.6636524434227,929.6239213387922,1187.4444763828865,988.5764432167217,1043.0975966887906
P10170,Protein 171,890.8738073954664,912.2340246218204,767.4055690500695,964.9047688037813,862.866909462358,883.4117721732509
P10171,Protein 172,541.9010201110816,925.9742522267492,902.621491940947,822.4797863318817,753.0914810256012,828.8538183787588
P10172,Protein 173,1000.2876307725342,1579.648068762124,1282.1598483716566,973.3266408712195,963.8736331708028,730.6217858407
P10173,Protein 174,925.0453898884492,891.2435083042778,731.4590733779462,830.5289299802338,529.3463718931978,873.471586920687
P10174,Protein 175,880.3838891151261,1204.8465336896038,1071.1445346428998,1014.2032774676919,916.8986786200386,617.3709048109995
P10175,Protein 176,793.4175962822723,965.910156088594,914.383029187827,920.1757716464409,1049.821792312886,1013.1389132194574
P10176,Protein 177,854.4986313196378,1203.2129630356835,670.1260721704425,835.2121019148544,1007.9026493718869,872.3253489074027
P10177,Protein 178,883.403512796327,1138.9949270795178,987.7327391987847,962.4887858391376,694.276218460371,1035.298332671966
P10178,Protein 179,995.370982079888,832.7409881395356,971.5665695675647,570.9782205015251,884.620355125521,1029.1147277038456
P10179,Protein 180,744.424005426992,1102.8790753138642,788.0709152725586,628.4587139554815,901.1728321784894,675.8033286422645
P10180,Protein 181,824.1408753537424,975.8249324091328,1143.7305953851119,860.2141664354621,933.4026162004476,771.7525391454001
P10181,Protein 182,1121.8804573895313,983.4376355832297,1005.5497737965561,770.8138623703389,745.2928749138466,1033.3836832516429
P10182,Protein 183,1302.0632417247123,893.2850633379534,1060.6055391933603,1015.6843202775343,1113.9641520672853,1065.7054208463057
P10183,Protein 184,959.1769766189855,1123.012191833415,955.1439487644252,940.9476077800313,985.1576126112609,1072.0753619836187
P10184,Protein 185,1315.3208882482445,1196.1840324096115,1203.3423597227197,955.7474856401761,1063.14324693663,979.6460463548369
P10185,Protein 186,1215.2402385383361,656.9072471530953,1116.6022620906374,909.4223447123867,1022.7836523386255,918.4733720303024
P10186,Protein 187,1139.9374867200734,693.3216499378143,678.7363119911099,895.424308216258,1025.641654771126,1026.0240720141794
P10187,Protein 188,1311.2661085175287,964.0924337502261,707.0089596705166,1007.2823785306715,813.2697328041319,773.9011659149171
P10188,Protein 189,1319.3813880252933,1000.0870369134034,1414.0008167977176,706.7836032179569,969.5235239301103,980.7674470386219
P10189,Protein 190,746.2764370949118,1128.2697423256202,1445.377158253751,733.8259830985096,1120.3379912516766,908.9990778598568
P10190,Protein 191,1316.5679784867773,1259.4710749494513,637.3006293966737,893.0526244004603,883.9161963311076,537.5725586835165
P10191,Protein 192,562.6563068929108,1077.0591015945013,1240.2848674349866,1040.3187940797745,733.5358976903786,1072.872053682153
P10192,Protein 193,1221.618322747944,1196.0357995867998,963.1261327260164,884.1364274820017,957.2996236614339,796.3773148382546
P10193,Protein 194,900.2230364459593,879.6478810801646,1353.3134927488263,915.5639953167894,856.4287386374407,1027.0342492224256
P10194,Protein 195,1069.1037347027084,994.9745578257916,1163.2711510801905,663.0885522808117,834.3148419271465,882.2525211985154
P10195,Protein 196,1093.7283000664584,1230.2599914796767,878.3487163582954,912.712179896258,721.970340062242,799.6122991283187
P10196,Protein 197,1243.1180858493503,872.2504310021279,968.2790328956147,817.2271991262022,979.1487757114144,1019.2228523979759
P10197,Protein 198,863.8585377378221,1134.85509811653,831.9643631280776,925.1395832504463,892.6527194152665,1010.8492435902676
P10198,Protein 199,960.2029613081484,1285.8375137859937,1263.280678614634,769.1066125473448,847.7035738123843,619.2949468976539
P10199,Protein 200,935.7559194616191,878.9221831693517,601.5343730351311,761.4325274104821,924.2983309742069,1247.6406843875125
P10200,Protein 201,782.2973675164376,1340.9079044410976,1179.1283509408347,873.9868612735953,736.8129545900031,997.268517718332
P10201,Protein 202,646.9489724852544,699.9789729876886,1009.0933571215326,1126.859313912922,781.2846930597634,925.5940759473056
P10202,Protein 203,811.4248023970107,1111.4533435129215,1182.675163460148,790.6955774190051,990.0012346012196,658.7685299263007
P10203,Protein 204,1132.7679065261455,1104.2705793195357,1076.8131309322266,784.8700793886987,1000.9628068315686,821.0430782571639
P10204,Protein 205,1145.804745644146,936.1283946953291,900.4137440357049,961.0337574364071,984.2549127240953,705.724836087955
P10205,Protein 206,1208.9486907969715,667.6204906631433,892.2326876845691,835.7972236943101,1206.2151718892037,1084.60393574271
P10206,Protein 207,731.4909504823843,964.6220478088136,755.3205748140813,1033.4200421567475,849.3251311364365,823.5404024983262
P10207,Protein 208,1190.0934414782855,842.8715754764662,1171.2466705702857,963.0479084799671,965.8294558564119,823.7815720886798
P10208,Protein 209,1045.0982299871825,1106.3271280665326,985.595001496128,1120.4160880183535,931.7227398415172,936.9777285955291
P10209,Protein 210,675.4941059430339,894.5125007942341,832.3173236549817,814.7743288847465,978.7740262654422,734.7053967207818
P10210,Protein 211,1150.3746839893458,839.451411198393,986.9742713301913,902.4444812029329,986.410421990401,837.5309185067678
P10211,Protein 212,1111.2279728815895,882.6130365851003,1267.3002983530519,918.1999631610753,1106.3414809903757,913.0032086594197
P10212,Protein 213,651.7445750665922,954.864519030884,1190.8637095895683,933.3750181989002,901.7471286966814,691.7760679818182
P10213,Protein 214,519.6241706097333,1042.904956885137,1065.6023855018125,1095.2476366093383,823.0743640628583,1112.1244813710969
P10214,Protein 215,1382.6068004834797,932.1344108428669,913.1214205340972,648.5021335538838,842.0446843830821,1154.720071139041
P10215,Protein 216,590.209930350773,848.471201731235,1298.2312649935707,882.4533399787298,652.4670208510311,892.2967546754869
P10216,Protein 217,1008.2174447166093,1056.7637962785375,1095.713613886647,1206.331759612023,837.1474020260882,942.1687431039473
P10217,Protein 218,1032.235822501769,914.908292298879,1113.6000895295092,820.3469517733806,975.9647037478378,1049.5704574156034
P10218,Protein 219,761.8181407600131,1080.8753947072512,813.3868270048933,855.9371877303088,986.3524791119094,855.056444548773
P10219,Protein 220,954.2281947594806,1071.878561303893,1066.2681539729258,1037.2056783580606,801.1269727190324,654.8415274096792
P10220,Protein 221,1159.4442393874613,942.395587985319,1160.864088964668,940.9916828142186,1002.640188883662,964.9126652339678
P10221,Protein 222,1097.1904627799731,1007.4873419131911,717.0603858299067,941.3093887885778,897.4914540413621,725.0664689305381
P10222,Protein 223,1348.0852609930405,933.2269655171644,931.3343888034659,1064.6709627748587,898.5637648644397,1168.7762891923508
P10223,Protein 224,1233.9367049820873,1135.7404612830192,573.1378422306518,989.5607897312357,730.9198349685564,634.9897645121401
P10224,Protein 225,1043.3250441669593,776.7749193337231,1498.4615060708654,488.87399124066707,934.3625255650024,748.4236593961284
P10225,Protein 226,944.7014792262489,896.5072271946012,813.6220264770301,834.985617449323,906.8869551218656,1084.5880554452938
P10226,Protein 227,1020.691503157497,1175.313355688414,831.1318746111772,1116.4288621190146,938.2945797416863,858.6731344125353
P10227,Protein 228,960.2912400793452,1070.4697361236194,1007.8322158777758,1038.321296983414,1035.3830375848042,804.4762268187403
P10228,Protein 229,878.546503394222,698.8211816107882,907.3290099209757,937.8549191523286,889.6316830800836,777.1649082611227
P10229,Protein 230,1139.3669444909272,772.0388764298334,1075.6781133044985,962.4215362806042,979.0175579824585,661.5938515423682
P10230,Protein 231,996.0395935146638,1082.0802927608117,1095.494445870927,935.809923289203,915.5748534483605,733.7760255661328
P10231,Protein 232,1157.241493793182,996.6893499082448,1216.9493046194639,814.734428400654,1089.0801956055138,901.5672857297819
P10232,Protein 233,1200.5994888353255,752.0430231660905,1262.7145210778729,772.3159933526028,801.1562590782592,1090.97846169569
